id_point_eau,date_releve,departement,commune,latitude,longitude,altitude_m,annee_construction,type_ouvrage,type_pompe,profondeur_forage_m,niveau_statique_m,debit_essai_m3_h,qualite_eau,nb_menages,population_desservie,distance_village_m,nb_points_eau_village,mode_gestion,mode_paiement,cotisation_mensuelle_fcfa,technicien_forme_village,stock_pieces_rechange_commune,distance_atelier_km,maitre_ouvrage,installateur,nb_pannes_12_mois,mois_depuis_derniere_maintenance,nb_jours_arret_12_mois,intervention_prevue,cout_reparation_estime_fcfa,etat_fonctionnement
PE-003850,2025-01-22,Atlantique,So-Ava,6.19263,2.04254,3.2,2018,Puits moderne,India Mark II,16.4,8.3,3.8,Ferrugineuse,54.0,305,840.0,2,Aucune gestion formelle,Cotisation annuelle,1930.0,0,1,13.8,Etat,ENT-035,0,10.0,61.0,Remplacement de pieces,53000.0,fonctionnel a reparer
PE-005741,2025-05-26,Oueme,Seme-Kpodji,6.82203,2.19054,,2024,Puits traditionnel ameliore,Aucune (puisage manuel),5.0,2.5,4.78,Ferrugineuse,35.0,241,560.0,3,Aucune gestion formelle,Gratuit,0.0,0,0,16.1,Commune,ENT-031,0,10.0,15.0,Aucune,0.0,fonctionnel
PE-004571,2025-03-25,Collines,Save,8.85793,2.59778,173.5,2019,Forage equipe PMH,India Mark II,59.5,9.3,0.94,Potable,48.0,250,820.0,8,Gestion communale,Cotisation annuelle,160.0,0,1,14.9,Etat,ENT-015,2,11.0,2.0,Aucune,0.0,fonctionnel
PE-004309,2025-11-05,Oueme,Aguegues,0.0,0.0,198.2,2003,Adduction d'eau villageoise,Immergee electrique,44.1,13.7,2.76,Potable,63.0,365,680.0,3,Gestion communale,Au volume,250.0,1,0,36.5,ONG internationale,ENT-011,1,23.0,256.0,Remplacement de pompe,1678000.0,en panne
PE-009018,2025-08-14,Zou,Cove,7.59367,2.23777,81.7,2020,Forage equipe PMH,Volanta,83.4,25.3,2.74,Potable,90.0,578,420.0,4,Comite de gestion villageois,Au volume,260.0,0,0,88.9,Cooperation bilaterale,ENT-052,1,3.0,2.0,Aucune,0.0,fonctionnel
PE-004278,2025-01-18,Oueme,Porto-Novo,6.21011,2.37991,216.4,1990,Adduction d'eau villageoise,Immergee electrique,90.2,58.1,10.12,Ferrugineuse,85.0,369,820.0,3,Comite de gestion villageois,Cotisation annuelle,170.0,1,0,8.1,ONG internationale,ENT-040,4,20.0,31.0,Rehabilitation lourde,1977000.0,en panne
PE-008344,2025-06-10,Collines,Ouesse,8.84603,2.56484,63.9,1991,Adduction d'eau villageoise,Immergee solaire,35.7,5.1,1.8,Potable,32.0,183,780.0,5,Comite de gestion villageois,Au volume,510.0,0,0,11.1,Commune,ENT-032,2,8.0,4.0,Aucune,0.0,fonctionnel
PE-002544,2025-05-12,Couffo,Lalo,7.21456,1.94917,228.5,1999,Puits moderne,Aucune (puisage manuel),5.0,1.5,2.58,Potable,89.0,535,530.0,2,Delegataire prive,Au volume,500.0,1,1,35.1,ONG internationale,ENT-011,1,11.0,1.0,Aucune,0.0,fonctionnel
PE-001140,2025-03-02,Zou,Zangnanado,6.58529,2.41179,295.6,2021,Forage equipe PMH,Vergnet,81.8,21.1,1.1,Potable,55.0,309,280.0,4,Delegataire prive,Forfait mensuel,940.0,1,1,31.3,ONG internationale,ENT-028,0,1.0,3.0,Aucune,0.0,fonctionnel
PE-008290,2025-07-13,Donga,Djougou,9.96383,1.96213,365.7,2007,Puits moderne,Aucune (puisage manuel),47.4,23.9,0.83,Potable,133.0,1002,520.0,5,Delegataire prive,Au volume,360.0,0,0,30.3,Commune,ENT-050,5,35.0,107.0,Rehabilitation lourde,658000.0,en panne
PE-002094,2025-04-23,Atlantique,Allada,6.43623,2.32929,181.2,2000,Forage equipe PMH,Volanta,45.6,25.1,4.66,Potable,76.0,378,260.0,3,Comite de gestion villageois,Au volume,800.0,1,0,19.3,Etat,ENT-043,1,6.0,4.0,Aucune,0.0,fonctionnel
PE-008246,2025-02-07,Atacora,Toucountouna,10.58479,1.5079,204.2,1986,Adduction d'eau villageoise,Immergee solaire,46.5,22.7,3.42,Turbide,63.0,285,20.0,3,Comite de gestion villageois,Au volume,670.0,1,0,3.3,Prive,ENT-048,4,13.0,4.0,Aucune,0.0,fonctionnel
PE-001945,2025-09-22,Atlantique,So-Ava,6.75014,1.92876,264.4,1983,Forage equipe PMH,Volanta,40.0,8.1,2.19,Turbide,109.0,564,170.0,1,Gestion communale,Cotisation annuelle,70.0,1,1,10.7,Etat,ENT-042,3,9.0,2.0,Aucune,0.0,fonctionnel
PE-008648,2025-01-10,Collines,Glazoue,8.60257,2.57946,155.7,2004,Puits moderne,Aucune (puisage manuel),9.5,5.1,6.05,,71.0,372,680.0,5,Aucune gestion formelle,Gratuit,0.0,0,0,47.4,Cooperation bilaterale,ENT-012,3,18.0,116.0,Remplacement de pompe,801000.0,en panne
