variable,importance,ecart_type
appui_technique,0.0591,0.0088
annee_construction,0.0583,0.0096
nb_pannes_12_mois,0.0422,0.0057
technicien_forme_village,0.0262,0.0027
mois_depuis_derniere_maintenance,0.024,0.0079
installateur,0.022,0.0055
mode_gestion,0.0156,0.0034
type_pompe,0.0122,0.0039
profondeur_forage_m,0.0111,0.0048
cotisation_mensuelle_fcfa,0.0111,0.0051
debit_essai_m3_h,0.0105,0.0037
distance_atelier_km,0.0069,0.0038
capacite_entretien,0.0063,0.0033
pannes_par_an,0.0059,0.0037
pression_usage,0.0048,0.0045
stock_pieces_rechange_commune,0.0042,0.004
nb_menages,0.0038,0.0028
population_desservie,0.0033,0.0044
qualite_eau,0.0032,0.0041
maitre_ouvrage,0.0022,0.0034
mois_releve,0.002,0.0035
nb_points_eau_village,0.0018,0.0038
debit_inconnu,0.0007,0.0016
annee_inconnue,0.0006,0.0007
longitude,0.0002,0.0039
population_inconnue,0.0001,0.0005
debit_par_personne,0.0001,0.0032
coordonnees_manquantes,0.0001,0.0006
trimestre_releve,0.0,0.0
distance_atelier_relative,0.0,0.0
mode_paiement,-0.0,0.003
altitude_m,-0.0003,0.0036
latitude,-0.0008,0.004
age_ans,-0.001,0.0021
type_ouvrage,-0.0011,0.0016
ratio_niveau_statique,-0.0021,0.0034
distance_village_m,-0.0026,0.0047
niveau_statique_m,-0.0028,0.0037
commune,-0.0038,0.0041
departement,-0.0039,0.0038
