departement,n,taux_manquants_%,exactitude,f1_macro,f1_en panne,f1_fonctionnel,f1_fonctionnel a reparer
Plateau,140,2.11,0.7071,0.5706,0.748,0.7286,0.2353
Borgou,262,2.03,0.7137,0.5977,0.7358,0.7574,0.3
Atlantique,272,1.99,0.7463,0.5977,0.7404,0.8026,0.25
Couffo,192,1.87,0.7188,0.6012,0.7421,0.7538,0.3077
Mono,149,2.09,0.7517,0.6111,0.7627,0.8205,0.25
Donga,145,2.21,0.7034,0.6349,0.6916,0.7516,0.4615
Oueme,256,1.7,0.7539,0.6496,0.6389,0.8364,0.4737
Zou,272,1.95,0.7353,0.6529,0.7308,0.7835,0.4444
Alibori,175,1.71,0.76,0.6568,0.7107,0.8152,0.4444
Collines,205,1.93,0.7317,0.665,0.7448,0.7887,0.4615
Atacora,213,1.53,0.7746,0.6685,0.7952,0.8214,0.3889
